observable_id,P0_a_m,R_m,field_region,frequency_hz,model,direction,E_equatorial_v_per_m,E_rms_v_per_m,E_axial_v_per_m,E_min_v_per_m,E_max_v_per_m,E_optional_conservative_v_per_m,relative_to_static_equatorial_db,deltaV_1m_min_v,deltaV_1m_max_v,interpretation
shaft_modulation_n4,30.0,100.0,near_intermediate_estimate_R_lt_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,4.476232774459557e-09,6.330349097979653e-09,8.952465548919113e-09,4.476232774459557e-09,8.952465548919113e-09,1.129985571235205e-09,-42.498774732166,4.476232774459557e-09,8.952465548919113e-09,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,30.0,100.0,near_intermediate_estimate_R_lt_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,3.5809862195676457e-09,5.064279278383722e-09,7.161972439135291e-09,3.5809862195676457e-09,7.161972439135291e-09,7.6841789985176e-10,-44.43697499232712,3.5809862195676457e-09,7.161972439135291e-09,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,30.0,300.0,far_field_R_ge_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,2.2104853207207686e-08,3.126098319989951e-08,4.420970641441537e-08,2.2104853207207686e-08,4.420970641441537e-08,2.2104853207207686e-08,0.0,2.2104853207207686e-08,4.420970641441537e-08,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,30.0,300.0,far_field_R_ge_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,6.631455962162306e-10,9.378294959969853e-10,1.3262911924324612e-09,6.631455962162306e-10,1.3262911924324612e-09,8.411031177971254e-11,-30.45757490560675,6.631455962162306e-10,1.3262911924324612e-09,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,30.0,300.0,far_field_R_ge_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,3.315727981081153e-10,4.689147479984926e-10,6.631455962162306e-10,3.315727981081153e-10,6.631455962162306e-10,1.7880071005315417e-11,-36.47817481888637,3.315727981081153e-10,6.631455962162306e-10,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,30.0,300.0,far_field_R_ge_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.2104853207207686e-10,3.1260983199899516e-10,4.420970641441537e-10,2.2104853207207686e-10,4.420970641441537e-10,6.183784754618203e-12,-40.0,2.2104853207207686e-10,4.420970641441537e-10,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,30.0,300.0,far_field_R_ge_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.6578639905405765e-10,2.344573739992463e-10,3.315727981081153e-10,1.6578639905405765e-10,3.315727981081153e-10,2.6670404614183957e-12,-42.498774732166,1.6578639905405765e-10,3.315727981081153e-10,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,30.0,300.0,far_field_R_ge_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.326291192432461e-10,1.8756589919939708e-10,2.652582384864922e-10,1.326291192432461e-10,2.652582384864922e-10,1.3104587505842966e-12,-44.43697499232713,1.326291192432461e-10,2.652582384864922e-10,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,30.0,500.0,far_field_R_ge_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,4.77464829275686e-09,6.7523723711782955e-09,9.54929658551372e-09,4.77464829275686e-09,9.54929658551372e-09,4.77464829275686e-09,0.0,4.77464829275686e-09,9.54929658551372e-09,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,30.0,500.0,far_field_R_ge_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.432394487827058e-10,2.0257117113534886e-10,2.864788975654116e-10,1.432394487827058e-10,2.864788975654116e-10,4.586308128795489e-12,-30.45757490560675,1.432394487827058e-10,2.864788975654116e-10,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,30.0,500.0,far_field_R_ge_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,7.16197243913529e-11,1.0128558556767443e-10,1.432394487827058e-10,7.16197243913529e-11,1.432394487827058e-10,5.51251630273442e-13,-36.47817481888638,7.16197243913529e-11,1.432394487827058e-10,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,30.0,500.0,far_field_R_ge_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,4.7746482927568604e-11,6.752372371178296e-11,9.549296585513721e-11,4.7746482927568604e-11,9.549296585513721e-11,1.2308900699132474e-13,-40.0,4.7746482927568604e-11,9.549296585513721e-11,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,30.0,500.0,far_field_R_ge_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,3.580986219567645e-11,5.0642792783837216e-11,7.16197243913529e-11,3.580986219567645e-11,7.16197243913529e-11,3.6711643389811725e-14,-42.498774732166,3.580986219567645e-11,7.16197243913529e-11,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,30.0,500.0,far_field_R_ge_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.864788975654116e-11,4.0514234227069775e-11,5.729577951308232e-11,2.864788975654116e-11,5.729577951308232e-11,1.303367095537039e-14,-44.43697499232712,2.864788975654116e-11,5.729577951308232e-11,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,30.0,1000.0,far_field_R_ge_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,5.968310365946075e-10,8.440465463972869e-10,1.193662073189215e-09,5.968310365946075e-10,1.193662073189215e-09,5.968310365946075e-10,0.0,5.968310365946075e-10,1.193662073189215e-09,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,30.0,1000.0,far_field_R_ge_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.7904931097838226e-11,2.5321396391918608e-11,3.580986219567645e-11,1.7904931097838226e-11,3.580986219567645e-11,1.8355821694905863e-14,-30.45757490560675,1.7904931097838226e-11,3.580986219567645e-11,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,30.0,1000.0,far_field_R_ge_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,8.952465548919113e-12,1.2660698195959304e-11,1.7904931097838226e-11,8.952465548919113e-12,1.7904931097838226e-11,5.303677905451016e-16,-36.47817481888638,8.952465548919113e-12,1.7904931097838226e-11,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,30.0,1000.0,far_field_R_ge_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,5.9683103659460755e-12,8.44046546397287e-12,1.1936620731892151e-11,5.9683103659460755e-12,1.1936620731892151e-11,3.966497298108404e-17,-40.0,5.9683103659460755e-12,1.1936620731892151e-11,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,30.0,1000.0,far_field_R_ge_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,4.4762327744595564e-12,6.330349097979652e-12,8.952465548919113e-12,4.4762327744595564e-12,8.952465548919113e-12,4.704516709029072e-18,-42.498774732166,4.4762327744595564e-12,8.952465548919113e-12,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,30.0,1000.0,far_field_R_ge_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,3.580986219567645e-12,5.064279278383722e-12,7.16197243913529e-12,3.580986219567645e-12,7.16197243913529e-12,7.412264045298392e-19,-44.43697499232712,3.580986219567645e-12,7.16197243913529e-12,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,30.0,3000.0,far_field_R_ge_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,2.2104853207207687e-11,3.126098319989952e-11,4.4209706414415374e-11,2.2104853207207687e-11,4.4209706414415374e-11,2.2104853207207687e-11,0.0,2.2104853207207687e-11,4.4209706414415374e-11,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,30.0,3000.0,far_field_R_ge_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,6.631455962162306e-13,9.378294959969856e-13,1.3262911924324611e-12,6.631455962162306e-13,1.3262911924324611e-12,7.145167576691814e-22,-30.45757490560675,6.631455962162306e-13,1.3262911924324611e-12,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,30.0,3000.0,far_field_R_ge_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,3.315727981081153e-13,4.689147479984928e-13,6.631455962162306e-13,3.315727981081153e-13,6.631455962162306e-13,6.89417563021565e-26,-36.47817481888638,3.315727981081153e-13,6.631455962162306e-13,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,30.0,3000.0,far_field_R_ge_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.2104853207207688e-13,3.126098319989952e-13,4.4209706414415377e-13,2.2104853207207688e-13,4.4209706414415377e-13,6.488658615918915e-29,-40.0,2.2104853207207688e-13,4.4209706414415377e-13,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,30.0,3000.0,far_field_R_ge_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.6578639905405764e-13,2.344573739992464e-13,3.315727981081153e-13,1.6578639905405764e-13,3.315727981081153e-13,1.9246685792044783e-31,-42.498774732166,1.6578639905405764e-13,3.315727981081153e-13,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,30.0,3000.0,far_field_R_ge_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.3262911924324613e-13,1.8756589919939712e-13,2.6525823848649226e-13,1.3262911924324613e-13,2.6525823848649226e-13,1.176206517107996e-33,-44.43697499232712,1.3262911924324613e-13,2.6525823848649226e-13,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,100.0,30.0,near_intermediate_estimate_R_lt_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,7.368284402402561e-05,0.0001042032773329984,0.00014736568804805123,7.368284402402561e-05,0.00014736568804805123,7.368284402402561e-05,0.0,7.368284402402561e-05,0.00014736568804805123,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,100.0,30.0,near_intermediate_estimate_R_lt_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.2104853207207682e-06,3.126098319989952e-06,4.4209706414415365e-06,2.2104853207207682e-06,4.4209706414415365e-06,1.7980910134021167e-06,-30.45757490560675,2.2104853207207682e-06,4.4209706414415365e-06,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,100.0,30.0,near_intermediate_estimate_R_lt_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.1052426603603841e-06,1.563049159994976e-06,2.2104853207207682e-06,1.1052426603603841e-06,2.2104853207207682e-06,8.253471843358874e-07,-36.47817481888638,1.1052426603603841e-06,2.2104853207207682e-06,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,100.0,30.0,near_intermediate_estimate_R_lt_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,7.368284402402562e-07,1.042032773329984e-06,1.4736568804805123e-06,7.368284402402562e-07,1.4736568804805123e-06,5.152797238426981e-07,-40.0,7.368284402402562e-07,1.4736568804805123e-06,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,100.0,30.0,near_intermediate_estimate_R_lt_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,5.526213301801921e-07,7.81524579997488e-07,1.1052426603603841e-06,5.526213301801921e-07,1.1052426603603841e-06,3.6565853459538357e-07,-42.498774732166,5.526213301801921e-07,1.1052426603603841e-06,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,100.0,30.0,near_intermediate_estimate_R_lt_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,4.420970641441537e-07,6.252196639979903e-07,8.841941282883074e-07,4.420970641441537e-07,8.841941282883074e-07,2.7860960069378045e-07,-44.43697499232712,4.420970641441537e-07,8.841941282883074e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,100.0,50.0,near_intermediate_estimate_R_lt_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,1.5915494309189534e-05,2.2507907903927653e-05,3.183098861837907e-05,1.5915494309189534e-05,3.183098861837907e-05,1.5915494309189534e-05,0.0,1.5915494309189534e-05,3.183098861837907e-05,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,100.0,50.0,near_intermediate_estimate_R_lt_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,4.77464829275686e-07,6.752372371178296e-07,9.54929658551372e-07,4.77464829275686e-07,9.54929658551372e-07,3.3843981203449437e-07,-30.45757490560675,4.77464829275686e-07,9.54929658551372e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,100.0,50.0,near_intermediate_estimate_R_lt_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.38732414637843e-07,3.376186185589148e-07,4.77464829275686e-07,2.38732414637843e-07,4.77464829275686e-07,1.4673817548701676e-07,-36.47817481888638,2.38732414637843e-07,4.77464829275686e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,100.0,50.0,near_intermediate_estimate_R_lt_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.5915494309189535e-07,2.2507907903927654e-07,3.183098861837907e-07,1.5915494309189535e-07,3.183098861837907e-07,8.768956583330734e-08,-40.0,1.5915494309189535e-07,3.183098861837907e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,100.0,50.0,near_intermediate_estimate_R_lt_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.193662073189215e-07,1.688093092794574e-07,2.38732414637843e-07,1.193662073189215e-07,2.38732414637843e-07,5.997379249048736e-08,-42.498774732166,1.193662073189215e-07,2.38732414637843e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,100.0,50.0,near_intermediate_estimate_R_lt_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,9.54929658551372e-08,1.3504744742356593e-07,1.909859317102744e-07,9.54929658551372e-08,1.909859317102744e-07,4.4235281325512206e-08,-44.43697499232712,9.54929658551372e-08,1.909859317102744e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,100.0,100.0,near_intermediate_estimate_R_lt_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,1.9894367886486917e-06,2.8134884879909566e-06,3.9788735772973834e-06,1.9894367886486917e-06,3.9788735772973834e-06,1.9894367886486917e-06,0.0,1.9894367886486917e-06,3.9788735772973834e-06,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,100.0,100.0,near_intermediate_estimate_R_lt_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,5.968310365946075e-08,8.44046546397287e-08,1.193662073189215e-07,5.968310365946075e-08,1.193662073189215e-07,2.998689624524368e-08,-30.45757490560675,5.968310365946075e-08,1.193662073189215e-07,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n2,100.0,100.0,near_intermediate_estimate_R_lt_3L,6.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.9841551829730376e-08,4.220232731986435e-08,5.968310365946075e-08,2.9841551829730376e-08,5.968310365946075e-08,1.127417708332711e-08,-36.47817481888638,2.9841551829730376e-08,5.968310365946075e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n3,100.0,100.0,near_intermediate_estimate_R_lt_3L,9.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.989436788648692e-08,2.8134884879909568e-08,3.978873577297384e-08,1.989436788648692e-08,3.978873577297384e-08,6.039287726987281e-09,-40.0,1.989436788648692e-08,3.978873577297384e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n4,100.0,100.0,near_intermediate_estimate_R_lt_3L,12.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.4920775914865188e-08,2.1101163659932174e-08,2.9841551829730376e-08,1.4920775914865188e-08,2.9841551829730376e-08,3.766618570784016e-09,-42.498774732166,1.4920775914865188e-08,2.9841551829730376e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
shaft_modulation_n5,100.0,100.0,near_intermediate_estimate_R_lt_3L,15.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,1.193662073189215e-08,1.688093092794574e-08,2.38732414637843e-08,1.193662073189215e-08,2.38732414637843e-08,2.5613929995058664e-09,-44.43697499232712,1.193662073189215e-08,2.38732414637843e-08,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
UEP_result_signature_static_P0,100.0,300.0,far_field_R_ge_3L,0.0,baseline_quasi_static_far_field_dipole,range_equatorial_to_axial,7.368284402402562e-08,1.0420327733299839e-07,1.4736568804805123e-07,7.368284402402562e-08,1.4736568804805123e-07,7.368284402402562e-08,0.0,7.368284402402562e-08,1.4736568804805123e-07,"UEP is treated as the resulting signature of P0=P_corr+P_SACP+P_ICCP, not as an independent additive source."
shaft_modulation_n1,100.0,300.0,far_field_R_ge_3L,3.0,baseline_quasi_static_with_optional_conservative_diffusion,range_equatorial_to_axial,2.2104853207207685e-09,3.1260983199899516e-09,4.420970641441537e-09,2.2104853207207685e-09,4.420970641441537e-09,2.8036770593237513e-10,-30.45757490560675,2.2104853207207685e-09,4.420970641441537e-09,Shaft-rate line is modulation of P0. The baseline column does not include exp(-R/delta); the conservative column is sensitivity only.
